id,prompt,imgA,imgB
1,"A vibrant harbor scene with a small orange boat + in the style of realistic travel photography + illuminated by golden hour sunlight + creating a peaceful coastal summer mood + featuring calm water reflections and a backdrop of warm-toned town buildings.",1.png,1.png
2,"Traditional Saudi Arabian architecture with enclosed wooden balconies + in the style of crisp architectural photography + under bright daylight with sharp shadows + evoking a historic and serene mood + detailed with a white building facade and pale green slatted window enclosures against a clear cyan sky.",2.png,2.png
3,"A sea turtle swimming underwater + in the style of cinematic nature photography + illuminated by dappled sunlight filtering from the surface + creating a tranquil and majestic mood + detailed with clear shell patterns surrounded by a deep blue water gradient.",3.png,3.png
4,"A wide snowy alpine slope with two distant skiers + in the style of vast landscape photography + under bright crisp sunlight casting deep mountain shadows + capturing an expansive and quiet winter mood + detailed with a cloudless blue sky, textured snow, and scattered distant trees.",4.png,4.png
5,"An asphalt road winding through massive sand dunes towards a distant stone gate + in the style of sweeping aerial desert photography + bathed in soft warm sunlight highlighting the dune ridges + creating an isolated and grand mood + detailed with endless terracotta-colored sand and gentle road curves.",5.png,5.png
6,"An elegant blonde woman holding a red pomegranate near her face + in the style of high-end beauty portrait photography + illuminated by soft flattering studio lighting + conveying a bold and sophisticated mood + detailed with a black silk shirt, vibrant red lipstick, and a deep red background.",6.png,6.png
7,"A winding asphalt road curving through a dense green forest + in the style of lush nature photography + under soft diffused daylight + evoking a peaceful and inviting mood + detailed with double yellow center lines, vibrant varied green foliage, and a stone retaining wall.",7.png,7.png
8,"A vibrant blue bird perched on a single diagonal wire + in the style of minimalist wildlife photography + under bright natural daylight + creating a calm and solitary mood + detailed with striking turquoise and brown plumage, long tail feathers, against a perfectly clear pale blue sky.",8.png,8.png
9,"A silhouette of a man and woman facing each other + in the style of conceptual silhouette photography + created with strong backlighting against a warm textured wall + evoking a tense and dramatic mood + detailed with the man's outstretched arguing hand and a dark V-shaped shadow looming above.",9.png,9.png
10,"A close-up of an orange tabby cat sleeping + in the style of macro pet photography + illuminated by soft natural daylight + conveying a cozy and serene mood + detailed with sharp long white whiskers, a pink nose, resting on gray fur, with a blurred cool-toned background.",10.png,10.png